"Group","Sample","nervefr"
"STC7weeks","207stc7w",15193.685
"STC7weeks","219stc7w",4742.22023076923
"STC7weeks","224stc7w",3418.374
"sham","shamcont",2928.225
"sham","shamcontr",2584.11047619048
"sham","shamcontro",2142.03
"sham","shamnerv",2584.33111111111
"sham","shamnerve10",2758.42
"sham","shamnerve11",2303.66
"sham","shamnerve12",2070.93
"sham","shamnerve14",2091.9
"sham","shamnerve7",2504.86
"sham","shamnerve9",2695.06
"STC7weeks","stc7week",3192.382
"STC7weeks","stc7ween",3347.76
"incisioncontrol","stccontro",3274.33125
"incisioncontrol","stccontrol",2369.31333333333
"incisioncontrol","stccontrolne",5754.125
